customer_id,tenure_months,plan,city,monthly_usage,has_addon,support_tickets
0,66,basic,city_14,,True,6
1,47,standard,city_15,169.0,False,3
2,23,standard,city_12,76.6,True,0
3,67,standard,city_11,169.1,False,0
4,65,basic,city_14,129.1,False,0
5,16,premium,city_07,135.5,False,8
6,34,basic,city_16,178.8,True,2
7,53,premium,city_04,104.2,True,5
8,13,basic,city_15,169.6,True,0
9,70,basic,city_13,,False,0
10,30,standard,city_12,72.0,True,0
11,11,standard,city_19,,False,0
12,1,premium,city_16,124.0,True,8
13,48,premium,city_17,123.6,False,0
14,51,premium,city_04,160.5,True,0
15,28,premium,city_12,67.8,False,5
16,50,standard,city_19,99.4,True,2
17,5,premium,city_16,89.3,True,7
18,71,standard,city_17,155.8,False,0
19,52,premium,city_00,98.8,False,0
20,65,standard,city_10,196.7,False,0
21,59,premium,city_00,,False,0
22,29,premium,city_07,,False,0
23,32,standard,city_02,75.9,False,3
24,25,standard,city_06,123.2,False,0
25,46,basic,city_03,153.4,True,1
26,64,premium,city_08,0,False,0
27,68,standard,city_15,127.5,True,0
28,23,standard,city_03,104.0,True,0
29,42,standard,city_19,72.7,False,0
30,44,standard,city_05,89.1,False,0
31,17,premium,city_07,120.2,True,5
32,63,standard,city_08,66.1,False,0
33,33,standard,city_03,97.8,False,3
34,26,premium,city_18,87.1,False,0
35,58,basic,city_12,74.8,False,0
36,44,standard,city_19,41.2,True,0
37,38,premium,city_08,81.9,False,0
38,47,premium,city_18,,True,0
39,33,premium,city_02,113.5,True,0
40,61,premium,city_01,164.6,True,0
41,50,standard,city_07,127.5,True,5
42,60,premium,city_08,96.9,True,0
43,56,premium,city_17,112.7,False,9
44,63,standard,city_09,167.7,False,0
45,25,standard,city_17,122.7,False,0
46,50,standard,city_07,116.2,True,0
47,35,standard,city_17,167.0,False,0
48,,basic,city_14,,False,0
49,69,basic,city_05,95.8,True,0
50,2,basic,city_02,150.7,False,0
51,48,standard,city_01,162.6,False,0
52,35,standard,city_02,92.6,False,2
53,5,basic,city_14,112.4,True,0
54,40,standard,city_05,110.9,True,0
55,,premium,city_06,110.4,True,0
56,36,premium,city_03,93.4,True,0
57,20,standard,city_02,140.4,True,0
58,8,basic,city_11,77.0,True,0
59,45,standard,city_06,64.8,True,4
60,25,premium,city_05,81.7,False,0
61,71,basic,city_02,109.2,True,0
62,59,basic,city_16,99.1,True,3
63,64,premium,city_04,139.9,False,0
64,67,premium,city_02,222.1,True,6
65,11,standard,city_01,148.8,False,0
66,48,premium,city_01,135.8,True,6
67,46,premium,city_14,88.3,False,9
68,56,premium,city_10,75.0,True,0
69,47,standard,city_14,,False,0
70,3,premium,city_04,158.1,False,5
71,32,basic,city_08,118.4,False,0
72,10,premium,city_10,127.4,True,0
73,49,basic,city_01,93.3,False,0
74,16,basic,city_19,177.5,False,0
75,20,standard,city_16,92.4,True,0
76,58,premium,city_18,88.1,False,7
77,26,premium,city_19,119.1,True,0
78,12,basic,city_13,83.1,False,0
79,22,standard,city_19,139.2,False,3
80,32,premium,city_04,176.6,True,0
81,61,basic,city_10,58.8,True,1
82,3,standard,city_18,165.7,False,0
83,35,basic,city_14,89.4,True,0
84,47,basic,city_00,95.4,False,0
85,13,standard,city_15,210.0,True,0
86,3,basic,city_07,153.9,False,0
87,46,standard,city_09,102.0,True,4
88,72,standard,city_07,175.6,True,0
89,30,standard,city_07,198.3,True,0
90,58,premium,city_04,126.6,True,4
91,19,premium,city_00,143.7,False,6
92,30,premium,city_07,121.2,True,7
93,,basic,city_02,130.3,True,4
94,49,premium,city_10,36.2,True,0
95,6,basic,city_16,185.7,False,4
96,22,standard,city_09,108.6,True,0
97,,basic,city_05,110.2,True,0
98,59,premium,city_06,134.5,False,5
99,22,standard,city_18,106.8,True,0
100,7,standard,city_09,91.9,False,0
101,26,basic,city_19,191.7,False,0
102,1,premium,city_15,124.6,False,0
103,1,basic,city_17,179.8,False,3
104,39,standard,city_02,164.5,True,0
105,72,basic,city_14,134.2,False,6
106,18,basic,city_08,97.8,True,1
107,37,standard,city_19,160.9,False,0
108,17,premium,city_18,47.3,False,0
109,38,basic,city_00,121.6,True,0
110,27,premium,city_13,85.2,True,0
111,9,standard,city_09,140.9,False,3
112,62,standard,city_01,88.6,False,2
113,41,premium,city_17,79.1,True,0
114,46,basic,city_04,117.8,False,1
115,41,premium,city_01,131.1,False,0
116,58,standard,city_06,92.4,False,3
117,62,premium,city_16,115.6,False,4
118,12,standard,city_14,136.1,False,0
119,27,standard,city_06,106.5,True,0
120,16,standard,city_04,132.2,True,0
121,19,premium,city_09,138.5,True,0
122,70,standard,city_01,,True,0
123,23,premium,city_19,157.0,False,4
124,60,standard,city_07,,False,2
125,45,standard,city_14,111.9,True,0
126,66,basic,city_12,,False,0
127,60,standard,city_18,46.8,False,0
128,62,standard,city_02,,False,2
129,63,basic,city_18,189.5,False,0
130,40,standard,city_02,64.2,False,0
131,28,basic,city_18,80.4,True,3
132,39,premium,city_09,,False,4
133,51,premium,city_10,68.2,False,0
134,23,standard,city_04,136.8,False,4
135,56,basic,city_02,161.0,True,4
136,58,standard,city_11,127.2,True,0
137,65,standard,city_13,,False,0
138,48,basic,city_18,51.5,True,1
139,12,basic,city_15,128.0,True,1
140,43,standard,city_11,198.1,False,0
141,39,premium,city_18,100.3,False,0
142,7,premium,city_09,142.8,False,0
143,36,standard,city_04,61.3,False,0
144,23,premium,city_04,96.6,True,0
145,68,basic,city_10,83.6,True,1
146,22,basic,city_18,115.9,False,4
147,49,premium,city_12,78.8,False,0
148,37,standard,city_12,70.1,True,0
149,56,premium,city_08,16.4,False,0
150,51,standard,city_07,114.1,True,0
151,41,premium,city_00,60.3,True,9
152,16,premium,city_03,172.5,False,4
